Legislation Number,URL,Congress,Title,Sponsor,Date of Introduction,Committees,Latest Action,Latest Action Date,Number of Cosponsors,Amends Bill,Date Offered,Date Submitted,Date Proposed,Amends Amendment
H.R. 6199,https://www.congress.gov/bill/102nd-congress/house-bill/6199,102nd Congress (1991-1992),To establish a voluntary environmental response program to encourage the expeditious remediation of contaminated sites.,"Lent, Norman F. [Rep.-R-NY-4] (Introduced 10/06/1992)",10/6/1992,"House - Energy and Commerce, Public Works and Transportation, Science, Space and Technology",Referred to the Subcommittee on Transportation and Hazardous Materials.,11/20/1992,0,,,,,
H.R. 6134,https://www.congress.gov/bill/102nd-congress/house-bill/6134,102nd Congress (1991-1992),"To reauthorize and amend the Endangered Species Act of 1973 in order to improve and protect the integrity of its programs for the conservation of threatened and endangered species, to ensure balanced consideration of all impacts of decisions implementing the Act, to provide for equitable treatment of non-federal parties and federal agencies under the Act, to encourage non-federal parties to contribute voluntarily to species conservation, and for other purposes.","Tauzin, W. J. (Billy) [Rep.-D-LA-3] (Introduced 10/05/1992)",10/5/1992,House - Merchant Marine and Fisheries,Referred to the House Committee on Merchant Marine and Fisheries.,10/5/1992,22,,,,,
H.R. 6123,https://www.congress.gov/bill/102nd-congress/house-bill/6123,102nd Congress (1991-1992),"To amend the Endangered Species Act of 1973 to require the preparation of economic impact analyses with respect to certain actions to protect endangered species and threatened species, to provide compensation for economic losses incurred under that Act, and to authorize appropriations to carry out that Act through fiscal year 1997.","Thomas, William M. [Rep.-R-CA-20] (Introduced 10/03/1992)",10/3/1992,House - Merchant Marine and Fisheries,Referred to the Subcommittee on Fisheries and Wildlife Conservation and the Environment.,10/3/1992,0,,,,,
H.R. 6116,https://www.congress.gov/bill/102nd-congress/house-bill/6116,102nd Congress (1991-1992),To amend subtitle D of the Solid Waste Disposal Act to require the Administrator of the Environmental Protection Agency to promulgate regulations governing the placement and operation of solid waste transfer stations.,"Ackerman, Gary L. [Rep.-D-NY-7] (Introduced 10/03/1992)",10/3/1992,House - Energy and Commerce,Referred to the Subcommittee on Transportation and Hazardous Materials.,10/15/1992,0,,,,,
H.R. 6062,https://www.congress.gov/bill/102nd-congress/house-bill/6062,102nd Congress (1991-1992),To promote the growth of environmental science and technology in the United States.,"Engel, Eliot L. [Rep.-D-NY-19] (Introduced 09/30/1992)",9/30/1992,"House - Science, Space and Technology",Referred to the Subcommittee on Environment.,10/6/1992,0,,,,,
H.R. 6060,https://www.congress.gov/bill/102nd-congress/house-bill/6060,102nd Congress (1991-1992),To establish certain environmental protection procedures within the area comprising the border region between the United States and the Republic of Mexico.,"Bustamante, Albert G. [Rep.-D-TX-23] (Introduced 09/30/1992)",9/30/1992,"House - Foreign Affairs, Energy and Commerce, Public Works and Transportation",Referred to the Subcommittee on Health and the Environment.,12/22/1992,0,,,,,
H.R. 6033,https://www.congress.gov/bill/102nd-congress/house-bill/6033,102nd Congress (1991-1992),"To amend the Solid Waste Disposal Act to authorize States to restrict out-of-State municipal waste, and for other purposes.","Wyden, Ron [Rep.-D-OR-3] (Introduced 09/25/1992)",9/25/1992,House - Energy and Commerce,Referred to the Subcommittee on Transportation and Hazardous Materials.,10/15/1992,14,,,,,
H.R. 6028,https://www.congress.gov/bill/102nd-congress/house-bill/6028,102nd Congress (1991-1992),To save Florida Bay.,"Shaw, E. Clay, Jr. [Rep.-R-FL-15] (Introduced 09/24/1992)",9/24/1992,"House - Interior and Insular Affairs, Merchant Marine and Fisheries, Public Works and Transportation","Referred to the Subcommittee on Water, Power and Offshore Energy Resources.",10/30/1992,20,,,,,
H.R. 6004,https://www.congress.gov/bill/102nd-congress/house-bill/6004,102nd Congress (1991-1992),"To amend the Federal Water Pollution Control Act to extend the deadline by which permits for discharges for municipal and industrial stormwater discharges are required until October 1, 1994.","Hammerschmidt, John P. [Rep.-R-AR-3] (Introduced 09/23/1992)",9/23/1992,House - Public Works and Transportation | Senate - Environment and Public Works,Received in the Senate and read twice and referred to the Committee on Environment and Public Works.,9/29/1992,24,,,,,
H.R. 5990,https://www.congress.gov/bill/102nd-congress/house-bill/5990,102nd Congress (1991-1992),"To amend the Federal Water Pollution Control Act to provide for assessments of contaminated sediments at areas of concern in the Great Lakes, and for other purposes.","Nowak, Henry [Rep.-D-NY-33] (Introduced 09/22/1992)",9/22/1992,House - Public Works and Transportation | Senate - Environment and Public Works,Received in the Senate and read twice and referred to the Committee on Environment and Public Works.,9/29/1992,0,,,,,
H.R. 5969,https://www.congress.gov/bill/102nd-congress/house-bill/5969,102nd Congress (1991-1992),To establish a National Commission on the Conservation of Biological Resources.,"Hoagland, Peter [Rep.-D-NE-2] (Introduced 09/17/1992)",9/17/1992,House - Merchant Marine and Fisheries,Referred to the Subcommittee on Fisheries and Wildlife Conservation and the Environment.,10/1/1992,0,,,,,
H.R. 5959,https://www.congress.gov/bill/102nd-congress/house-bill/5959,102nd Congress (1991-1992),"To establish the Office of National Environmental Technologies, and for other purposes.","Kennedy, Joseph P., II [Rep.-D-MA-8] (Introduced 09/16/1992)",9/16/1992,"House - Banking, Finance, and Urban Affairs, Judiciary, Science, Space and Technology",Referred to the Subcommittee on Intellectual Property and Judicial Administration.,10/9/1992,0,,,,,
H.R. 5937,https://www.congress.gov/bill/102nd-congress/house-bill/5937,102nd Congress (1991-1992),"To establish a demonstration program to encourage the full restoration of the Ballona Wetlands, Los Angeles, California, and for other purposes.","Anderson, Glenn M. [Rep.-D-CA-32] (Introduced 09/15/1992)",9/15/1992,"House - Merchant Marine and Fisheries, Public Works and Transportation",Referred to the Subcommittee on Fisheries and Wildlife Conservation and the Environment.,10/1/1992,4,,,,,
H.R. 5875,https://www.congress.gov/bill/102nd-congress/house-bill/5875,102nd Congress (1991-1992),"To establish the National Environmental Sciences and Technology Agency, and for other purposes.","Pallone, Frank, Jr. [Rep.-D-NJ-3] (Introduced 08/12/1992)",8/12/1992,"House - Science, Space and Technology",Referred to the Subcommittee on Environment.,8/31/1992,2,,,,,
H.R. 5874,https://www.congress.gov/bill/102nd-congress/house-bill/5874,102nd Congress (1991-1992),Brownsville Wetlands Policy Act of 1992,"Ortiz, Solomon P. [Rep.-D-TX-27] (Introduced 08/12/1992)",8/12/1992,House - Merchant Marine and Fisheries | Senate - Environment and Public Works,Read twice and referred to the Committee on Environment and Public Works.,10/8/1992,0,,,,,
H.R. 5863,https://www.congress.gov/bill/102nd-congress/house-bill/5863,102nd Congress (1991-1992),"To amend title I of the Marine Protection Research, and Sanctuaries Act of 1972 to ensure that land-based management alternatives for sewage sludge are protective of human health and the environment.","Manton, Thomas J. [Rep.-D-NY-9] (Introduced 08/12/1992)",8/12/1992,"House - Energy and Commerce, Merchant Marine and Fisheries, Public Works and Transportation",Referred to the Subcommittee on Transportation and Hazardous Materials.,9/14/1992,1,,,,,
H.R. 5857,https://www.congress.gov/bill/102nd-congress/house-bill/5857,102nd Congress (1991-1992),To provide for standards for the cleanup of domestic nuclear energy industry facilities and other radiologically contaminated sites.,"Kostmayer, Peter H. [Rep.-D-PA-8] (Introduced 08/12/1992)",8/12/1992,"House - Energy and Commerce, Interior and Insular Affairs",Referred to the Subcommittee on Transportation and Hazardous Materials.,10/15/1992,0,,,,,
H.R. 5818,https://www.congress.gov/bill/102nd-congress/house-bill/5818,102nd Congress (1991-1992),"To amend the Federal Water Pollution Control Act to provide assistance to States for the purpose of restoring the water quality and biological integrity of small lakes, and for other purposes.","Jontz, Jim [Rep.-D-IN-5] (Introduced 08/11/1992)",8/11/1992,House - Public Works and Transportation,Referred to the Subcommittee on Water Resources.,8/24/1992,0,,,,,
H.R. 5801,https://www.congress.gov/bill/102nd-congress/house-bill/5801,102nd Congress (1991-1992),"To implement the Protocol on Environmental Protection to the Antarctic Treaty, with annexes, done at Madrid October 4, 1991, and an additional annex done at Bonn October 17, 1991, enact a prohibition against Antarctic mineral resource activities, amend the Antarctic Conservation Act of 1978, and repeal the Antarctic Protection Act of 1990.","Boucher, Rick [Rep.-D-VA-9] (Introduced 08/10/1992)",8/10/1992,"House - Interior and Insular Affairs, Merchant Marine and Fisheries, Science, Space and Technology",Referred to the Subcommittee On Insular and International Affairs.,9/24/1992,1,,,,,
H.R. 5766,https://www.congress.gov/bill/102nd-congress/house-bill/5766,102nd Congress (1991-1992),To require the promulgation of standards for the cleanup of radiologically contaminated sites.,"Kostmayer, Peter H. [Rep.-D-PA-8] (Introduced 08/04/1992)",8/4/1992,House - Energy and Commerce,Referred to the Subcommittee on Transportation and Hazardous Materials.,9/14/1992,0,,,,,
H.R. 5730,https://www.congress.gov/bill/102nd-congress/house-bill/5730,102nd Congress (1991-1992),Lead Exposure Reduction Act of 1992,"Swift, Al [Rep.-D-WA-2] (Introduced 07/31/1992)",7/31/1992,"House - Energy and Commerce, Education and Labor",Executive Comment Received from Labor.,10/1/1992,1,,,,,
H.R. 5694,https://www.congress.gov/bill/102nd-congress/house-bill/5694,102nd Congress (1991-1992),"To amend the Land and Water Conservation Fund Act of 1965 to ensure sufficient funding for Federal and State projects, to encourage multipurpose acquisitions, and for other purposes.","Rhodes, John J., III [Rep.-R-AZ-1] (Introduced 07/24/1992)",7/24/1992,House - Interior and Insular Affairs,Subcommittee Hearings Held.,7/30/1992,0,,,,,
H.R. 5609,https://www.congress.gov/bill/102nd-congress/house-bill/5609,102nd Congress (1991-1992),"To amend the Comprehensive Environmental Response, Compensation, and Liability Act of 1980 to establish fault-based liability, numerical cleanup standards, and deadlines for remedial action, and to amend the Internal Revenue Code of 1986 to apply the Superfund minimum tax to additional corporations to provide additional revenue to carry out the Comprehensive Environmental Response, Compensation, and Liability Act of 1980.","Owens, Wayne [Rep.-D-UT-2] (Introduced 07/09/1992)",7/9/1992,"House - Energy and Commerce, Public Works and Transportation, Ways and Means",Referred to the Subcommittee on Water Resources.,7/23/1992,0,,,,,
H.R. 5579,https://www.congress.gov/bill/102nd-congress/house-bill/5579,102nd Congress (1991-1992),"To assist distressed cities with large, abandoned factories and hazardous waste sites.","Shays, Christopher [Rep.-R-CT-4] (Introduced 07/08/1992)",7/8/1992,"House - Energy and Commerce, Public Works and Transportation",Referred to the Subcommittee on Transportation and Hazardous Materials.,7/20/1992,3,,,,,
H.R. 5546,https://www.congress.gov/bill/102nd-congress/house-bill/5546,102nd Congress (1991-1992),"To amend the Federal Water Pollution Control Act to provide for implementation of a management plan for the San Francisco Bay-Delta Estuary, and for other purposes.","Pelosi, Nancy [Rep.-D-CA-5] (Introduced 07/02/1992)",7/2/1992,"House - Merchant Marine and Fisheries, Public Works and Transportation",Referred to the Subcommittee on Water Resources.,7/16/1992,8,,,,,
H.R. 5534,https://www.congress.gov/bill/102nd-congress/house-bill/5534,102nd Congress (1991-1992),To authorize the Secretary of the Interior to enter into a cooperative agreement with the William O. Douglas Outdoor Classroom.,"Berman, Howard L. [Rep.-D-CA-26] (Introduced 07/02/1992)",7/2/1992,House - Interior and Insular Affairs,See S.1704.,10/6/1992,0,,,,,
H.R. 5525,https://www.congress.gov/bill/102nd-congress/house-bill/5525,102nd Congress (1991-1992),To authorize the Secretary of the Interior to use the facilities of the Golden Gate National Recreation Area to develop and implement a program to use drought resistant species of plants in the landscaping of public lands.,"Pelosi, Nancy [Rep.-D-CA-5] (Introduced 07/01/1992)",7/1/1992,House - Interior and Insular Affairs,Referred to the Subcommittee on National Parks and Public Lands.,8/12/1992,1,,,,,
H.R. 5522,https://www.congress.gov/bill/102nd-congress/house-bill/5522,102nd Congress (1991-1992),"To prevent the introduction of plant and animal pests into Hawaii through the mails, to increase penalties relating to the introduction of plant or animal pests, to authorize cooperative agreements to safeguard Hawaii's environment, and for other purposes.","Mink, Patsy T. [Rep.-D-HI-2] (Introduced 07/01/1992)",7/1/1992,"House - Agriculture, Judiciary, Merchant Marine and Fisheries, Post Office and Civil Service",Referred to the Subcommittee on Crime and Criminal Justice.,7/9/1992,0,,,,,
H.R. 5508,https://www.congress.gov/bill/102nd-congress/house-bill/5508,102nd Congress (1991-1992),"To amend the Federal Water Pollution Control Act to make Barnegat Bay, New Jersey, eligible for priority consideration under the national estuary program.","Saxton, Jim [Rep.-R-NJ-13] (Introduced 06/29/1992)",6/29/1992,House - Public Works and Transportation,Referred to the Subcommittee on Water Resources.,7/13/1992,9,,,,,
H.R. 5459,https://www.congress.gov/bill/102nd-congress/house-bill/5459,102nd Congress (1991-1992),Antarctic Environmental Protection Protocol Act of 1992,"Jones, Walter B. [Rep.-D-NC-1] (Introduced 06/22/1992)",6/22/1992,"House - Merchant Marine and Fisheries, Foreign Affairs, Science, Space and Technology","Reported (Amended) by the Committee on Merchant Marine and Fisheries. H. Rept. 102-932, Part I.",9/29/1992,11,,,,,
H.R. 5448,https://www.congress.gov/bill/102nd-congress/house-bill/5448,102nd Congress (1991-1992),"To amend the Solid Waste Disposal Act to prohibit the transportation of solid waste from the State in which the waste was generated to another State for purposes of treatment, storage, or disposal, unless the State in which the waste was generated has in effect a law prohibiting nonreturnable beverage containers.","Carr, Bob [Rep.-D-MI-6] (Introduced 06/22/1992)",6/22/1992,House - Energy and Commerce,Referred to the Subcommittee on Transportation and Hazardous Materials.,7/8/1992,0,,,,,
H.R. 5441,https://www.congress.gov/bill/102nd-congress/house-bill/5441,102nd Congress (1991-1992),To establish a Gulf of Mexico environmental and economic restoration and protection program.,"Laughlin, Greg [Rep.-D-TX-14] (Introduced 06/18/1992)",6/18/1992,"House - Merchant Marine and Fisheries, Public Works and Transportation, Science, Space and Technology",Referred to the Subcommittee on Water Resources.,7/2/1992,30,,,,,
H.R. 5436,https://www.congress.gov/bill/102nd-congress/house-bill/5436,102nd Congress (1991-1992),To assist small communities in the construction of facilities for the protection of the environment and human health.,"Williams, Pat [Rep.-D-MT-1] (Introduced 06/18/1992)",6/18/1992,"House - Energy and Commerce, Public Works and Transportation",Referred to the Subcommittee on Health and the Environment.,8/7/1992,8,,,,,
H.R. 5424,https://www.congress.gov/bill/102nd-congress/house-bill/5424,102nd Congress (1991-1992),To establish a Commission on Environment and Development.,"Porter, John Edward [Rep.-R-IL-10] (Introduced 06/17/1992)",6/17/1992,House - Foreign Affairs,Forwarded by Subcommittee to Full Committee.,7/22/1992,19,,,,,
H.R. 5422,https://www.congress.gov/bill/102nd-congress/house-bill/5422,102nd Congress (1991-1992),"To repeal section 201(d) of the Act of February 16, 1988, authorizing the Secretary of the Interior to preserve certain wetlands and historic and prehistoric sites in the St. Johns River Valley, Florida, and for other purposes.","Bennett, Charles E. [Rep.-D-FL-3] (Introduced 06/17/1992)",6/17/1992,House - Interior and Insular Affairs,Referred to the Subcommittee on National Parks and Public Lands.,7/22/1992,0,,,,,
H.R. 5374,https://www.congress.gov/bill/102nd-congress/house-bill/5374,102nd Congress (1991-1992),"Entitled, ""National Environmental Technologies Agency Act of 1992"".","Bentley, Helen Delich [Rep.-R-MD-2] (Introduced 06/11/1992)",6/11/1992,"House - Banking, Finance, and Urban Affairs, Judiciary, Science, Space and Technology",Referred to the Subcommittee on Economic and Commercial Law.,7/8/1992,20,,,,,
H.R. 5352,https://www.congress.gov/bill/102nd-congress/house-bill/5352,102nd Congress (1991-1992),Great Lakes Federal Effectiveness Act,"Davis, Robert W. [Rep.-R-MI-11] (Introduced 06/09/1992)",6/9/1992,"House - Merchant Marine and Fisheries, Public Works and Transportation, Science, Space and Technology","Reported (Amended) by the Committee on Public Works + Transportation. H. Rept. 102-742, Part II.",9/30/1992,8,,,,,
H.R. 5351,https://www.congress.gov/bill/102nd-congress/house-bill/5351,102nd Congress (1991-1992),"To amend the Marine Protection, Research, and Sanctuaries Act of 1972, and for other purposes.","Davis, Robert W. [Rep.-R-MI-11] (Introduced 06/09/1992)",6/9/1992,"House - Merchant Marine and Fisheries, Public Works and Transportation, Science, Space and Technology",Referred to the Subcommittee on Water Resources.,6/22/1992,7,,,,,
H.R. 5350,https://www.congress.gov/bill/102nd-congress/house-bill/5350,102nd Congress (1991-1992),Great Lakes Fish and Wildlife Tissue Bank Act,"Davis, Robert W. [Rep.-R-MI-11] (Introduced 06/09/1992)",6/9/1992,House - Merchant Marine and Fisheries | Senate - Environment and Public Works,See H.R.5013.,10/6/1992,9,,,,,
H.R. 5349,https://www.congress.gov/bill/102nd-congress/house-bill/5349,102nd Congress (1991-1992),To improve coordination of National Oceanic and Atmospheric Administration Great Lakes activities.,"Davis, Robert W. [Rep.-R-MI-11] (Introduced 06/09/1992)",6/9/1992,House - Merchant Marine and Fisheries,Executive Comment Requested from Commerce.,6/19/1992,8,,,,,
H.R. 5347,https://www.congress.gov/bill/102nd-congress/house-bill/5347,102nd Congress (1991-1992),To designate a national marine sanctuary in the Hawaiian Islands for the protection of humpback whales and their habitat.,"Abercrombie, Neil [Rep.-D-HI-1] (Introduced 06/09/1992)",6/9/1992,House - Merchant Marine and Fisheries,Similar Provisions Incorporated in H.R.4310.,8/3/1992,1,,,,,
H.R. 5326,https://www.congress.gov/bill/102nd-congress/house-bill/5326,102nd Congress (1991-1992),To establish a program to assure nondiscriminatory compliance with all environmental health and safety laws and to assure equal protection of the public health.,"Lewis, John [Rep.-D-GA-5] (Introduced 06/04/1992)",6/4/1992,"House - Agriculture, Education and Labor, Energy and Commerce, Public Works and Transportation",Referred to the Subcommittee on Health and Safety.,7/20/1992,32,,,,,
H.R. 5320,https://www.congress.gov/bill/102nd-congress/house-bill/5320,102nd Congress (1991-1992),"To amend the Federal Water Pollution Control Act to reauthorize the State water pollution control revolving loan program, to provide assistance to economically distressed rural communities in the construction of wastewater treatment works and public water systems, and for other purposes.","Rahall, Nick J., II [Rep.-D-WV-4] (Introduced 06/03/1992)",6/3/1992,House - Public Works and Transportation,Referred to the Subcommittee on Water Resources.,6/15/1992,20,,,,,
H.R. 5294,https://www.congress.gov/bill/102nd-congress/house-bill/5294,102nd Congress (1991-1992),To provide assistance for environmental infrastructure facilities for economically distressed areas.,"Rahall, Nick J., II [Rep.-D-WV-4] (Introduced 05/28/1992)",5/28/1992,House - Public Works and Transportation,Referred to the Subcommittee on Water Resources.,6/11/1992,13,,,,,
H.R. 5276,https://www.congress.gov/bill/102nd-congress/house-bill/5276,102nd Congress (1991-1992),"To amend the Solid Waste Disposal Act to prohibit the Administrator of the Environmental Protection Agency from listing used oil and affiliated materials as a hazardous waste under that Act, to require the Administrator to establish cost effective management standards for generators, transporters and recyclers of used oil, to conserve a valuable resource, and to reduce the amount of lead in used oil fuels.","Tauzin, W. J. (Billy) [Rep.-D-LA-3] (Introduced 05/28/1992)",5/28/1992,House - Energy and Commerce,Referred to the Subcommittee on Transportation and Hazardous Materials.,6/5/1992,82,,,,,
H.R. 5264,https://www.congress.gov/bill/102nd-congress/house-bill/5264,102nd Congress (1991-1992),"To regulate aboveground storage tanks used to store regulated substances, and for other purposes.","Moran, James P. [Rep.-D-VA-8] (Introduced 05/26/1992)",5/26/1992,House - Energy and Commerce,Referred to the Subcommittee on Transportation and Hazardous Materials.,6/5/1992,6,,,,,
H.R. 5249,https://www.congress.gov/bill/102nd-congress/house-bill/5249,102nd Congress (1991-1992),To ensure the preservation of the Gulf of Mexico by establishing within the Environmental Protection Agency a Gulf of Mexico Program Office.,"Ireland, Andrew P. [Rep.-R-FL-10] (Introduced 05/21/1992)",5/21/1992,"House - Foreign Affairs, Merchant Marine and Fisheries, Public Works and Transportation, Science, Space and Technology",Referred to the Subcommittee on Water Resources.,6/4/1992,6,,,,,
H.R. 5169,https://www.congress.gov/bill/102nd-congress/house-bill/5169,102nd Congress (1991-1992),To amend the Solid Waste Disposal Act to exempt pesticide rinse water degradation systems from subtitle C permit requirements.,"Bilirakis, Michael [Rep.-R-FL-9] (Introduced 05/14/1992)",5/14/1992,House - Energy and Commerce,Referred to the Subcommittee on Transportation and Hazardous Materials.,5/26/1992,1,,,,,
H.R. 5162,https://www.congress.gov/bill/102nd-congress/house-bill/5162,102nd Congress (1991-1992),To promote implementation of the sustainable development agenda of the United Nations Conference on Environment and Development.,"Owens, Wayne [Rep.-D-UT-2] (Introduced 05/13/1992)",5/13/1992,"House - Banking, Finance, and Urban Affairs, Foreign Affairs, Energy and Commerce, Ways and Means","Referred to the Subcommittee on International Development, Finance, Trade and Monetary Policy.",6/1/1992,39,,,,,
H.R. 5131,https://www.congress.gov/bill/102nd-congress/house-bill/5131,102nd Congress (1991-1992),"To amend the Solid Waste Disposal Act to regulate the manufacture, collection, and disposal of batteries.","Sanders, Bernard [Rep.-I-VT-At Large] (Introduced 05/11/1992)",5/11/1992,House - Energy and Commerce,Referred to the Subcommittee on Transportation and Hazardous Materials.,5/19/1992,0,,,,,
H.R. 5121,https://www.congress.gov/bill/102nd-congress/house-bill/5121,102nd Congress (1991-1992),To amend the Solid Waste Disposal Act to establish citizens advisory boards for Department of Energy nuclear weapons facilities and to require the Administrator of the Agency for Toxic Substances and Disease Registry to conduct public health assessments of such facilities.,"Richardson, Bill [Rep.-D-NM-3] (Introduced 05/07/1992)",5/7/1992,House - Energy and Commerce,Referred to the Subcommittee on Transportation and Hazardous Materials.,5/29/1992,4,,,,,
H.R. 5110,https://www.congress.gov/bill/102nd-congress/house-bill/5110,102nd Congress (1991-1992),"To amend the Federal Insecticide, Fungicide, and Rodenticide Act with respect to public health pesticides.","Herger, Wally [Rep.-R-CA-2] (Introduced 05/07/1992)",5/7/1992,House - Agriculture,"Executive Comment Requested from USDA, EPA.",5/11/1992,14,,,,,
H.R. 5105,https://www.congress.gov/bill/102nd-congress/house-bill/5105,102nd Congress (1991-1992),"To amend the Endangered Species Act of 1973 to ensure adequate analysis before application of requirements and prohibitions under that Act to a species, and for other purposes.","Chandler, Rod D. [Rep.-R-WA-8] (Introduced 05/07/1992)",5/7/1992,House - Merchant Marine and Fisheries,"Executive Comment Requested from Commerce, Interior, Justice.",5/25/1992,10,,,,,
H.R. 5089,https://www.congress.gov/bill/102nd-congress/house-bill/5089,102nd Congress (1991-1992),"To amend the Solid Waste Disposal Act to require the owner or operator of a solid waste disposal facility to obtain authorization from the affected local government before accepting waste generated outside of the State, and for other purposes.","Rogers, Harold [Rep.-R-KY-5] (Introduced 05/06/1992)",5/6/1992,House - Energy and Commerce,Referred to the Subcommittee on Transportation and Hazardous Materials.,5/19/1992,0,,,,,
H.R. 5077,https://www.congress.gov/bill/102nd-congress/house-bill/5077,102nd Congress (1991-1992),"To amend the Solid Waste Disposal Act to require financial responsibility requirements to be based on risk, and to require the collection and maintenance of information relating to financial responsibility.","Erdreich, Ben [Rep.-D-AL-6] (Introduced 05/06/1992)",5/6/1992,House - Energy and Commerce,Referred to the Subcommittee on Transportation and Hazardous Materials.,5/19/1992,0,,,,,
H.R. 5070,https://www.congress.gov/bill/102nd-congress/house-bill/5070,102nd Congress (1991-1992),"To amend the Federal Water Pollution Control Act to provide special funding to States for implementation of national estuary conservation and management plans, and for other purposes.","Lowey, Nita M. [Rep.-D-NY-20] (Introduced 05/06/1992)",5/6/1992,"House - Merchant Marine and Fisheries, Public Works and Transportation",Referred to the Subcommittee on Water Resources.,5/18/1992,50,,,,,
H.R. 5066,https://www.congress.gov/bill/102nd-congress/house-bill/5066,102nd Congress (1991-1992),To amend the Federal Water Pollution Control Act to expand the research of the Long Island Sound Office of the Environmental Protection Agency.,"Scheuer, James H. [Rep.-D-NY-8] (Introduced 05/05/1992)",5/5/1992,"House - Public Works and Transportation, Science, Space and Technology",Referred to the Subcommittee on Water Resources.,5/18/1992,0,,,,,
H.R. 5016,https://www.congress.gov/bill/102nd-congress/house-bill/5016,102nd Congress (1991-1992),"To encourage the use of clean fuels, encourage the development of a clean fuels refueling infrastructure, and reduce the dependency on foreign oil, and for other purposes.","Gallo, Dean A. [Rep.-R-NJ-11] (Introduced 04/29/1992)",4/29/1992,House - Energy and Commerce,Referred to the Subcommittee on Health and the Environment.,5/29/1992,2,,,,,
H.R. 4994,https://www.congress.gov/bill/102nd-congress/house-bill/4994,102nd Congress (1991-1992),"To amend the Comprehensive Environmental Response, Compensation, and Liability Act of 1980 to exempt certain persons from liability under that Act, and for other purposes.","Dannemeyer, William E. [Rep.-R-CA-39] (Introduced 04/28/1992)",4/28/1992,House - Energy and Commerce,Referred to the Subcommittee on Transportation and Hazardous Materials.,5/1/1992,0,,,,,
H.R. 4986,https://www.congress.gov/bill/102nd-congress/house-bill/4986,102nd Congress (1991-1992),To require Federal facilities to comply with the Emergency Planning and Community Right-To-Know Act.,"Wolpe, Howard E. [Rep.-D-MI-3] (Introduced 04/09/1992)",4/9/1992,House - Energy and Commerce,Referred to the Subcommittee on Transportation and Hazardous Materials.,4/21/1992,77,,,,,
H.R. 4984,https://www.congress.gov/bill/102nd-congress/house-bill/4984,102nd Congress (1991-1992),"To authorize the Administrator to Evaluate the Effectiveness of Advanced, Ecologically Engineered Wastewater Treatment Technology for coastal communities and other locations.","Studds, Gerry E. [Rep.-D-MA-10] (Introduced 04/09/1992)",4/9/1992,House - Public Works and Transportation,Referred to the Subcommittee on Water Resources.,4/23/1992,1,,,,,
H.R. 4949,https://www.congress.gov/bill/102nd-congress/house-bill/4949,102nd Congress (1991-1992),"To amend the Solid Waste Disposal Act to provide for the phaseout of toxic persistent and bioaccumulative substances, and for other purposes.","Richardson, Bill [Rep.-D-NM-3] (Introduced 04/09/1992)",4/9/1992,House - Energy and Commerce,Referred to the Subcommittee on Transportation and Hazardous Materials.,4/21/1992,1,,,,,
H.R. 4905,https://www.congress.gov/bill/102nd-congress/house-bill/4905,102nd Congress (1991-1992),"To amend the Solid Waste Disposal Act to regulate the disposal of waste associated with the exploration, development, and production of crude oil and natural gas, and for other purposes.","Eckart, Dennis E. [Rep.-D-OH-11] (Introduced 04/09/1992)",4/9/1992,House - Energy and Commerce,Referred to the Subcommittee on Transportation and Hazardous Materials.,5/1/1992,2,,,,,
H.R. 4885,https://www.congress.gov/bill/102nd-congress/house-bill/4885,102nd Congress (1991-1992),"To amend title II of the Marine Protection, Research, and Sanctuaries Act of 1972 to direct the Under Secretary of Commerce for Oceans and Atmosphere to conduct a pilot program for the deposit of authorized waste on the deep seabed.","Burton, Dan [Rep.-R-IN-6] (Introduced 04/09/1992)",4/9/1992,"House - Merchant Marine and Fisheries, Science, Space and Technology","Executive Comment Requested from Army Corps of Engineers, EPA.",5/4/1992,1,,,,,
H.R. 4844,https://www.congress.gov/bill/102nd-congress/house-bill/4844,102nd Congress (1991-1992),Elwha River Ecosystem and Fisheries Restoration Act,"Swift, Al [Rep.-D-WA-2] (Introduced 04/09/1992)",4/9/1992,"House - Energy and Commerce, Interior and Insular Affairs, Merchant Marine and Fisheries",Became Public Law No: 102-495.,10/24/1992,6,,,,,
H.R. 4840,https://www.congress.gov/bill/102nd-congress/house-bill/4840,102nd Congress (1991-1992),"To ensure equal treatment for playa lakes, prairie potholes, vernal pools, pocosins, and other special wetlands under Federal wetland delineation criteria.","Combest, Larry [Rep.-R-TX-19] (Introduced 04/09/1992)",4/9/1992,"House - Agriculture, Merchant Marine and Fisheries, Public Works and Transportation","Executive Comment Requested from USDA, Commerce, Interior, Army Corps of Engineers, EPA.",5/1/1992,12,,,,,
H.R. 4785,https://www.congress.gov/bill/102nd-congress/house-bill/4785,102nd Congress (1991-1992),"To amend the Solid Waste Disposal Act to define the term ""yard waste"".","Gunderson, Steve [Rep.-R-WI-3] (Introduced 04/07/1992)",4/7/1992,House - Energy and Commerce,Referred to the Subcommittee on Transportation and Hazardous Materials.,4/21/1992,0,,,,,
H.R. 4764,https://www.congress.gov/bill/102nd-congress/house-bill/4764,102nd Congress (1991-1992),"To amend the Federal Insecticide, Fungicide, and Rodenticide Act with respect to minor use of pesticides.","de la Garza, E. [Rep.-D-TX-15] (Introduced 04/03/1992)",4/3/1992,House - Agriculture,"Executive Comment Requested from USDA, EPA.",4/8/1992,99,,,,,
