Legislation Number,URL,Congress,Title,Sponsor,Date of Introduction,Committees,Latest Action,Latest Action Date,Number of Cosponsors,Amends Bill,Date Offered,Date Submitted,Date Proposed,Amends Amendment
H.R. 6222,https://www.congress.gov/bill/112th-congress/house-bill/6222,112th Congress (2011-2012),To amend the Clean Air Act with respect to the sulfur fuel content of heating oil.,"DeLauro, Rosa L. [Rep.-D-CT-3] (Introduced 07/26/2012)",7/26/2012,House - Energy and Commerce,Referred to the Subcommittee on Energy and Power.,7/27/2012,1,,,,,
H.R. 6207,https://www.congress.gov/bill/112th-congress/house-bill/6207,112th Congress (2011-2012),To provide for the establishment of the Task Force on Environmental Health Risks and Safety Risks to Children.,"Slaughter, Louise McIntosh [Rep.-D-NY-28] (Introduced 07/26/2012)",7/26/2012,House - Energy and Commerce,Referred to the Subcommittee on Health.,7/27/2012,5,,,,,
H.R. 6194,https://www.congress.gov/bill/112th-congress/house-bill/6194,112th Congress (2011-2012),U.S. Agricultural Sector Relief Act of 2012,"Gingrey, Phil [Rep.-R-GA-11] (Introduced 07/25/2012)",7/25/2012,House - Energy and Commerce,"Placed on the Union Calendar, Calendar No. 491.",9/19/2012,13,,,,,
H.R. 6190,https://www.congress.gov/bill/112th-congress/house-bill/6190,112th Congress (2011-2012),Asthma Inhalers Relief Act of 2012,"Burgess, Michael C. [Rep.-R-TX-26] (Introduced 07/25/2012)",7/25/2012,House - Energy and Commerce,On motion to suspend the rules and pass the bill Failed by the Yeas and Nays: (2/3 required): 229 - 182 (Roll no. 623).,12/12/2012,5,,,,,
H.R. 6172,https://www.congress.gov/bill/112th-congress/house-bill/6172,112th Congress (2011-2012),To prohibit the Administrator of the Environmental Protection Agency from finalizing any rule imposing any standard of performance for carbon dioxide emissions from any existing or new source that is a fossil fuel-fired electric utility generating unit unless and until carbon capture and storage is found to be technologically and economically feasible.,"McKinley, David B. [Rep.-R-WV-1] (Introduced 07/24/2012)",7/24/2012,House - Energy and Commerce,Subcommittee Hearings Held.,9/20/2012,13,,,,,
H.R. 6093,https://www.congress.gov/bill/112th-congress/house-bill/6093,112th Congress (2011-2012),To establish a moratorium on aerial surveillance conducted by the Administrator of the Environmental Protection Agency under the Federal Water Pollution Control Act.,"Smith, Adrian [Rep.-R-NE-3] (Introduced 07/10/2012)",7/10/2012,House - Transportation and Infrastructure,Referred to the Subcommittee on Aviation.,7/11/2012,0,,,,,
H.R. 6075,https://www.congress.gov/bill/112th-congress/house-bill/6075,112th Congress (2011-2012),"To permit the chief executive of a State to create an exemption from certain requirements of Federal environmental laws for producers of agricultural commodities, and for other purposes.","Buerkle, Ann Marie [Rep.-R-NY-25] (Introduced 06/29/2012)",6/29/2012,"House - Energy and Commerce, Transportation and Infrastructure",Referred to the Subcommittee on Water Resources and Environment.,7/2/2012,12,,,,,
H.R. 6068,https://www.congress.gov/bill/112th-congress/house-bill/6068,112th Congress (2011-2012),To provide for continued conservation efforts in the Chesapeake Bay watershed.,"Van Hollen, Chris [Rep.-D-MD-8] (Introduced 06/29/2012)",6/29/2012,House - Agriculture,"Referred to the Subcommittee on Conservation, Energy, and Forestry.",8/13/2012,16,,,,,
H.R. 5911,https://www.congress.gov/bill/112th-congress/house-bill/5911,112th Congress (2011-2012),To amend the Toxic Substances Control Act relating to lead-based paint renovation and remodeling activities.,"Sullivan, John [Rep.-R-OK-1] (Introduced 06/07/2012)",6/7/2012,House - Energy and Commerce,Referred to the Subcommittee on Environment and the Economy.,6/8/2012,27,,,,,
H.R. 5864,https://www.congress.gov/bill/112th-congress/house-bill/5864,112th Congress (2011-2012),To establish an improved regulatory process for injurious wildlife to prevent the introduction and establishment in the United States of nonnative wildlife and wild animal pathogens and parasites that are likely to cause harm.,"Slaughter, Louise McIntosh [Rep.-D-NY-28] (Introduced 05/30/2012)",5/30/2012,"House - Natural Resources, Judiciary, Ways and Means, Budget","Referred to the Subcommittee on Crime, Terrorism, and Homeland Security.",8/1/2012,30,,,,,
H.R. 5827,https://www.congress.gov/bill/112th-congress/house-bill/5827,112th Congress (2011-2012),"To ensure consideration of water intensity in the Department of Energy's energy research, development, and demonstration programs to help guarantee efficient, reliable, and sustainable delivery of energy and clean water resources.","Johnson, Eddie Bernice [Rep.-D-TX-30] (Introduced 05/18/2012)",5/18/2012,"House - Science, Space, and Technology",Referred to the Subcommittee on Energy and Environment.,6/18/2012,7,,,,,
H.R. 5826,https://www.congress.gov/bill/112th-congress/house-bill/5826,112th Congress (2011-2012),"To implement a National Water Research and Development Initiative to ensure clean and reliable water for future generations, and for other purposes.","Johnson, Eddie Bernice [Rep.-D-TX-30] (Introduced 05/18/2012)",5/18/2012,"House - Science, Space, and Technology",Referred to the Subcommittee on Energy and Environment.,6/18/2012,4,,,,,
H.R. 5381,https://www.congress.gov/bill/112th-congress/house-bill/5381,112th Congress (2011-2012),"To amend the Clean Air Act with respect to exceptional event demonstrations, and for other purposes.","Flake, Jeff [Rep.-R-AZ-6] (Introduced 05/07/2012)",5/7/2012,House - Energy and Commerce,Referred to the Subcommittee on Energy and Power.,5/11/2012,17,,,,,
H.R. 4965,https://www.congress.gov/bill/112th-congress/house-bill/4965,112th Congress (2011-2012),"To preserve existing rights and responsibilities with respect to waters of the United States, and for other purposes.","Mica, John L. [Rep.-R-FL-7] (Introduced 04/27/2012)",4/27/2012,House - Transportation and Infrastructure,"Placed on the Union Calendar, Calendar No. 492.",9/20/2012,94,,,,,
H.R. 4387,https://www.congress.gov/bill/112th-congress/house-bill/4387,112th Congress (2011-2012),To allow for a reasonable compliance deadline for certain States subject to the Cross-State Air Pollution Rule.,"Pompeo, Mike [Rep.-R-KS-4] (Introduced 04/18/2012)",4/18/2012,House - Energy and Commerce,Referred to the Subcommittee on Energy and Power.,4/20/2012,4,,,,,
H.R. 4345,https://www.congress.gov/bill/112th-congress/house-bill/4345,112th Congress (2011-2012),"To provide liability protection for claims based on the design, manufacture, sale, offer for sale, introduction into commerce, or use of certain fuels and fuel additives, and for other purposes.","Shimkus, John [Rep.-R-IL-19] (Introduced 03/30/2012)",3/30/2012,"House - Energy and Commerce, Judiciary","Referred to the Subcommittee on Courts, Commercial and Administrative Law.",4/16/2012,26,,,,,
H.R. 4337,https://www.congress.gov/bill/112th-congress/house-bill/4337,112th Congress (2011-2012),"To limit the authority of the Administrator of the Environmental Protection Agency to implement certain actions related to Chesapeake Bay watershed total maximum daily loads, and for other purposes.","Reed, Tom [Rep.-R-NY-29] (Introduced 03/29/2012)",3/29/2012,"House - Transportation and Infrastructure, Agriculture","Referred to the Subcommittee on Conservation, Energy, and Forestry.",4/12/2012,1,,,,,
H.R. 4314,https://www.congress.gov/bill/112th-congress/house-bill/4314,112th Congress (2011-2012),"To amend the Coastal Zone Management Act of 1972 to require the Secretary of Commerce to establish a coastal climate change adaptation planning and response program, and for other purposes.","Capps, Lois [Rep.-D-CA-23] (Introduced 03/29/2012)",3/29/2012,House - Natural Resources,"Referred to the Subcommittee on Fisheries, Wildlife, Oceans, and Insular Affairs.",4/16/2012,11,,,,,
H.R. 4304,https://www.congress.gov/bill/112th-congress/house-bill/4304,112th Congress (2011-2012),"To clarify the definition of navigable waters, and for other purposes.","Rooney, Thomas J. [Rep.-R-FL-16] (Introduced 03/29/2012)",3/29/2012,House - Transportation and Infrastructure,Referred to the Subcommittee on Water Resources and Environment.,3/30/2012,5,,,,,
H.R. 4278,https://www.congress.gov/bill/112th-congress/house-bill/4278,112th Congress (2011-2012),Preserving Rural Resources Act of 2012,"Hurt, Robert [Rep.-R-VA-5] (Introduced 03/28/2012)",3/28/2012,House - Transportation and Infrastructure,"Placed on the Union Calendar, Calendar No. 494.",9/20/2012,24,,,,,
H.R. 4266,https://www.congress.gov/bill/112th-congress/house-bill/4266,112th Congress (2011-2012),"To amend the Safe Drinking Water Act to protect the health of vulnerable individuals, including pregnant women, infants, and children, by requiring a health advisory and drinking water standard for hexavalent chromium.","Schiff, Adam B. [Rep.-D-CA-29] (Introduced 03/27/2012)",3/27/2012,House - Energy and Commerce,Referred to the Subcommittee on Environment and the Economy.,3/30/2012,2,,,,,
H.R. 4255,https://www.congress.gov/bill/112th-congress/house-bill/4255,112th Congress (2011-2012),"To prohibit the Administrator of the Environmental Protection Agency from awarding any grant, contract, cooperative agreement, or other financial assistance under section 103 of the Clean Air Act for any program, project, or activity to occur outside the United States and its territories and possessions.","Whitfield, Ed [Rep.-R-KY-1] (Introduced 03/22/2012)",3/22/2012,"House - Energy and Commerce, Science, Space, and Technology",Committee Hearings Held.,9/11/2012,26,,,,,
H.R. 4244,https://www.congress.gov/bill/112th-congress/house-bill/4244,112th Congress (2011-2012),"To direct the Secretary of the Interior to issue a final decision whether or not to issue a permit under the Endangered Species Act of 1973 authorizing construction of an elementary school in San Diego, California.","Bilbray, Brian P. [Rep.-R-CA-50] (Introduced 03/22/2012)",3/22/2012,House - Natural Resources,Referred to the House Committee on Natural Resources.,3/22/2012,0,,,,,
H.R. 4225,https://www.congress.gov/bill/112th-congress/house-bill/4225,112th Congress (2011-2012),"To amend the Federal Insecticide, Fungicide, and Rodenticide Act to require local educational agencies and schools to implement integrated pest management programs to minimize the use of pesticides in schools and to provide parents, guardians, and employees with notice of the use of pesticides in schools, and for other purposes.","Holt, Rush [Rep.-D-NJ-12] (Introduced 03/20/2012)",3/20/2012,House - Agriculture,Referred to the Subcommittee on Nutrition and Horticulture .,4/12/2012,19,,,,,
H.R. 4214,https://www.congress.gov/bill/112th-congress/house-bill/4214,112th Congress (2011-2012),"To amend the Toxic Substances Control Act to prohibit the use, production, sale, importation, or exportation of the poison sodium fluoroacetate (known as ""Compound 1080"") and to prohibit the use of sodium cyanide for predator control.","Campbell, John [Rep.-R-CA-48] (Introduced 03/20/2012)",3/20/2012,"House - Energy and Commerce, Judiciary","Referred to the Subcommittee on Crime, Terrorism, and Homeland Security.",3/26/2012,1,,,,,
H.R. 4171,https://www.congress.gov/bill/112th-congress/house-bill/4171,112th Congress (2011-2012),"To amend the Lacey Act Amendments of 1981 to repeal certain provisions relating to criminal penalties and violations of foreign laws, and for other purposes.","Broun, Paul C. [Rep.-R-GA-10] (Introduced 03/08/2012)",3/8/2012,House - Natural Resources,Subcommittee Hearings Held.,5/8/2012,20,,,,,
H.R. 4166,https://www.congress.gov/bill/112th-congress/house-bill/4166,112th Congress (2011-2012),"To amend the Toxic Substances Control Act to prohibit the manufacture, processing, distribution in commerce, and use of coal tar sealants, and for other purposes.","Doggett, Lloyd [Rep.-D-TX-25] (Introduced 03/08/2012)",3/8/2012,House - Energy and Commerce,Referred to the Subcommittee on Environment and the Economy.,3/9/2012,4,,,,,
H.R. 4153,https://www.congress.gov/bill/112th-congress/house-bill/4153,112th Congress (2011-2012),"To support efforts to reduce pollution of the Chesapeake Bay watershed, and for other purposes.","Goodlatte, Bob [Rep.-R-VA-6] (Introduced 03/07/2012)",3/7/2012,"House - Transportation and Infrastructure, Agriculture, Energy and Commerce","Referred to the Subcommittee on Conservation, Energy, and Forestry.",4/12/2012,6,,,,,
H.R. 4146,https://www.congress.gov/bill/112th-congress/house-bill/4146,112th Congress (2011-2012),"To authorize the Secretary of the Army to take actions to manage the threat of Asian carp traveling up the Mississippi River in the State of Minnesota, and for other purposes.","Ellison, Keith [Rep.-D-MN-5] (Introduced 03/06/2012)",3/6/2012,"House - Transportation and Infrastructure, Natural Resources",Referred to the Subcommittee on Water Resources and Environment.,3/7/2012,2,,,,,
H.R. 3856,https://www.congress.gov/bill/112th-congress/house-bill/3856,112th Congress (2011-2012),"To limit the authority of the Administrator of the Environmental Protection Agency with respect to certain numeric nutrient criteria, and for other purposes.","Southerland, Steve II [Rep.-R-FL-2] (Introduced 01/31/2012)",1/31/2012,House - Transportation and Infrastructure,Referred to the Subcommittee on Water Resources and Environment.,2/1/2012,13,,,,,
H.R. 3773,https://www.congress.gov/bill/112th-congress/house-bill/3773,112th Congress (2011-2012),To amend the Renewable Fuel Program in section 211(o) of the Clean Air Act to allow domestic alternative fuel to be used to satisfy a portion of the required applicable volume of renewable fuel.,"Olson, Pete [Rep.-R-TX-22] (Introduced 01/17/2012)",1/17/2012,House - Energy and Commerce,Referred to the Subcommittee on Energy and Power.,1/20/2012,14,,,,,
H.R. 3757,https://www.congress.gov/bill/112th-congress/house-bill/3757,112th Congress (2011-2012),"To improve the ability of the National Oceanic and Atmospheric Administration, the Coast Guard, and coastal States to sustain healthy ocean and coastal ecosystems by maintaining and sustaining their capabilities relating to oil spill preparedness, prevention, response, restoration, and research, and for other purposes.","Richardson, Laura [Rep.-D-CA-37] (Introduced 12/20/2011)",12/20/2011,"House - Transportation and Infrastructure, Science, Space, and Technology, Natural Resources",Referred to the Subcommittee on Energy and Environment.,1/12/2012,1,,,,,
H.R. 3717,https://www.congress.gov/bill/112th-congress/house-bill/3717,112th Congress (2011-2012),To amend and reauthorize certain provisions relating to Long Island Sound restoration and stewardship.,"Israel, Steve [Rep.-D-NY-2] (Introduced 12/16/2011)",12/16/2011,"House - Transportation and Infrastructure, Natural Resources","Referred to the Subcommittee on Fisheries, Wildlife, Oceans, and Insular Affairs.",1/3/2012,14,,,,,
H.R. 3690,https://www.congress.gov/bill/112th-congress/house-bill/3690,112th Congress (2011-2012),"To amend the Federal Water Pollution Control Act relating to beach monitoring, and for other purposes.","Pallone, Frank, Jr. [Rep.-D-NJ-6] (Introduced 12/15/2011)",12/15/2011,House - Transportation and Infrastructure,Referred to the Subcommittee on Water Resources and Environment.,12/16/2011,0,,,,,
H.R. 3689,https://www.congress.gov/bill/112th-congress/house-bill/3689,112th Congress (2011-2012),To authorize the Administrator of the Environmental Protection Agency to waive any emission standard or other requirement under section 112 of the Clean Air Act (42 U.S.C. 7412) applicable to the control of asbestos emissions in the demolition or renovation of a condemned building for which there is a reasonable expectation of structural failure.,"Owens, William L. [Rep.-D-NY-23] (Introduced 12/15/2011)",12/15/2011,House - Energy and Commerce,Referred to the Subcommittee on Energy and Power.,12/16/2011,0,,,,,
H.R. 3616,https://www.congress.gov/bill/112th-congress/house-bill/3616,112th Congress (2011-2012),"To provide that the rules of the Environmental Protection Agency entitled ""National Emission Standards for Hazardous Air Pollutants for Reciprocating Internal Combustion Engines"" have no force or effect with respect to existing stationary compression and spark ignition reciprocating internal combustion engines operated to generate electricity for emergency or demand response purposes, or for the purpose of operating a water pump.","Berg, Rick [Rep.-R-ND-At Large] (Introduced 12/08/2011)",12/8/2011,House - Energy and Commerce,Referred to the Subcommittee on Energy and Power.,12/9/2011,2,,,,,
H.R. 3562,https://www.congress.gov/bill/112th-congress/house-bill/3562,112th Congress (2011-2012),"To amend the Federal Water Pollution Control Act with respect to the use of dispersants, and for other purposes.","Nadler, Jerrold [Rep.-D-NY-8] (Introduced 12/05/2011)",12/5/2011,"House - Transportation and Infrastructure, Energy and Commerce",Referred to the Subcommittee on Environment and the Economy.,12/9/2011,2,,,,,
H.R. 3544,https://www.congress.gov/bill/112th-congress/house-bill/3544,112th Congress (2011-2012),"To amend the Federal Water Pollution Control Act to limit citizens suits against publicly owned treatment works, to provide for defenses, to extend the period of a permit, to limit attorneys fees, and for other purposes.","McClintock, Tom [Rep.-R-CA-4] (Introduced 12/01/2011)",12/1/2011,House - Transportation and Infrastructure,Referred to the Subcommittee on Water Resources and Environment.,12/2/2011,0,,,,,
H.R. 3450,https://www.congress.gov/bill/112th-congress/house-bill/3450,112th Congress (2011-2012),"To authorize the Administrator of the Environmental Protection Agency to make grants to assist communities in complying with environmental requirements, to authorize the use of penalty amounts collected under laws administered by the Environmental Protection Agency to finance the grants, and for other purposes.","Young, Don [Rep.-R-AK-At Large] (Introduced 11/16/2011)",11/16/2011,"House - Energy and Commerce, Transportation and Infrastructure, Agriculture",Referred to the Subcommittee on Energy and Power.,11/18/2011,0,,,,,
H.R. 3431,https://www.congress.gov/bill/112th-congress/house-bill/3431,112th Congress (2011-2012),To prohibit the Administrator of the Environmental Protection Agency from granting a waiver under section 211(f)(4) of the Clean Air Act for any fuel or fuel additive that will reduce fuel efficiency or cause or contribute to engine damage.,"Sensenbrenner, F. James, Jr. [Rep.-R-WI-5] (Introduced 11/15/2011)",11/15/2011,House - Energy and Commerce,Referred to the Subcommittee on Energy and Power.,11/18/2011,0,,,,,
H.R. 3426,https://www.congress.gov/bill/112th-congress/house-bill/3426,112th Congress (2011-2012),"To amend the Federal Water Pollution Control Act to require the closure of oil storage and processing facilities that have spilled oil multiple times near residential neighborhoods, and for other purposes.","Connolly, Gerald E. [Rep.-D-VA-11] (Introduced 11/15/2011)",11/15/2011,House - Transportation and Infrastructure,Referred to the Subcommittee on Water Resources and Environment.,11/16/2011,0,,,,,
H.R. 3424,https://www.congress.gov/bill/112th-congress/house-bill/3424,112th Congress (2011-2012),"To establish a program under which the Administrator of the Environmental Protection Agency shall provide grants to eligible State consortia to establish and carry out municipal sustainability certification programs, and for other purposes.","Holt, Rush [Rep.-D-NJ-12] (Introduced 11/15/2011)",11/15/2011,"House - Energy and Commerce, Transportation and Infrastructure",Referred to the Subcommittee on Environment and the Economy.,11/18/2011,3,,,,,
H.R. 3393,https://www.congress.gov/bill/112th-congress/house-bill/3393,112th Congress (2011-2012),"To amend the Oil Pollution Act of 1990 and the Federal Water Pollution Control Act to impose penalties and provide for the recovery of removal costs and damages in connection with certain discharges of oil from foreign offshore units, and for other purposes.","Rivera, David [Rep.-R-FL-25] (Introduced 11/04/2011)",11/4/2011,House - Transportation and Infrastructure,Referred to the Subcommittee on Water Resources and Environment.,11/7/2011,19,,,,,
H.R. 3391,https://www.congress.gov/bill/112th-congress/house-bill/3391,112th Congress (2011-2012),To provide for the establishment of a national mercury monitoring program.,"Pingree, Chellie [Rep.-D-ME-1] (Introduced 11/04/2011)",11/4/2011,House - Energy and Commerce,Referred to the Subcommittee on Energy and Power.,11/4/2011,8,,,,,
H.R. 3379,https://www.congress.gov/bill/112th-congress/house-bill/3379,112th Congress (2011-2012),To amend the Clean Air Act to provide States increased flexibility in implementing standards through State implementation plans.,"Berg, Rick [Rep.-R-ND-At Large] (Introduced 11/04/2011)",11/4/2011,House - Energy and Commerce,Referred to the Subcommittee on Energy and Power.,11/4/2011,14,,,,,
H.R. 3347,https://www.congress.gov/bill/112th-congress/house-bill/3347,112th Congress (2011-2012),"To exempt any road, highway, or bridge damaged by a natural disaster, including a flood, from duplicative environmental document reviews if the road, highway, or bridge is reconstructed in the same location.","Fortenberry, Jeff [Rep.-R-NE-1] (Introduced 11/03/2011)",11/3/2011,"House - Natural Resources, Transportation and Infrastructure",Referred to the Subcommittee on Water Resources and Environment.,11/4/2011,0,,,,,
H.R. 3210,https://www.congress.gov/bill/112th-congress/house-bill/3210,112th Congress (2011-2012),RELIEF Act,"Cooper, Jim [Rep.-D-TN-5] (Introduced 10/14/2011)",10/14/2011,House - Natural Resources,"Placed on the Union Calendar, Calendar No. 439.",7/17/2012,21,,,,,
H.R. 3185,https://www.congress.gov/bill/112th-congress/house-bill/3185,112th Congress (2011-2012),"To provide that the rules of the Environmental Protection Agency entitled ""National Emission Standards for Hazardous Air Pollutants for Reciprocating Internal Combustion Engines"" have no force or effect with respect to existing stationary compression and spark ignition reciprocating internal combustion engines operated by certain persons and entities for the purpose of generating electricity or operating a water pump.","Latta, Robert E. [Rep.-R-OH-5] (Introduced 10/13/2011)",10/13/2011,House - Energy and Commerce,Referred to the Subcommittee on Energy and Power.,10/18/2011,15,,,,,
H.R. 3158,https://www.congress.gov/bill/112th-congress/house-bill/3158,112th Congress (2011-2012),FUELS Act,"Crawford, Eric A. ""Rick"" [Rep.-R-AR-1] (Introduced 10/12/2011)",10/12/2011,House - Transportation and Infrastructure | Senate - Environment and Public Works,Received in the Senate and Read twice and referred to the Committee on Environment and Public Works.,8/2/2012,41,,,,,
H.R. 3145,https://www.congress.gov/bill/112th-congress/house-bill/3145,112th Congress (2011-2012),"To amend the Federal Water Pollution Control Act to authorize appropriations for State water pollution control revolving funds, and for other purposes.","Bishop, Timothy H. [Rep.-D-NY-1] (Introduced 10/11/2011)",10/11/2011,"House - Transportation and Infrastructure, Ways and Means",Referred to the Subcommittee on Water Resources and Environment.,10/12/2011,36,,,,,
H.R. 3096,https://www.congress.gov/bill/112th-congress/house-bill/3096,112th Congress (2011-2012),"To restore the natural resources, ecosystems, fisheries, marine and wildlife habitats, beaches, and coastal wetlands of Gulf Coast States, to create jobs and revive the economic health of communities adversely affected by the explosion on, and sinking of, the mobile offshore drilling unit Deepwater Horizon, and for other purposes.","Scalise, Steve [Rep.-R-LA-1] (Introduced 10/05/2011)",10/5/2011,"House - Transportation and Infrastructure, Natural Resources, Science, Space, and Technology",Committee Hearings Held.,12/7/2011,41,,,,,
H.R. 3034,https://www.congress.gov/bill/112th-congress/house-bill/3034,112th Congress (2011-2012),To amend the Federal Water Pollution Control Act to establish a San Francisco Bay restoration grant program.,"Speier, Jackie [Rep.-D-CA-12] (Introduced 09/22/2011)",9/22/2011,House - Transportation and Infrastructure,Referred to the Subcommittee on Water Resources and Environment.,9/23/2011,11,,,,,
H.R. 2997,https://www.congress.gov/bill/112th-congress/house-bill/2997,112th Congress (2011-2012),"To amend the Comprehensive Environmental Responsive Compensation and Liability Act of 1980 (""Superfund"") to provide that manure is not considered a hazardous substance or pollutant or contaminant under that Act, and for other purposes.","Long, Billy [Rep.-R-MO-7] (Introduced 09/21/2011)",9/21/2011,"House - Energy and Commerce, Transportation and Infrastructure",Subcommittee Hearings Held.,6/25/2012,117,,,,,
H.R. 2939,https://www.congress.gov/bill/112th-congress/house-bill/2939,112th Congress (2011-2012),"To provide for the disposal of drugs pursuant to national pharmaceutical stewardship programs, and for other purposes.","Slaughter, Louise McIntosh [Rep.-D-NY-28] (Introduced 09/15/2011)",9/15/2011,"House - Energy and Commerce, Ways and Means",Referred to the Subcommittee on Health.,9/20/2011,1,,,,,
H.R. 2891,https://www.congress.gov/bill/112th-congress/house-bill/2891,112th Congress (2011-2012),To delay implementation of the Cross-State Air Pollution Rule of the Environmental Protection Agency.,"Fincher, Stephen Lee [Rep.-R-TN-8] (Introduced 09/12/2011)",9/12/2011,House - Energy and Commerce,Referred to the Subcommittee on Energy and Power.,9/20/2011,0,,,,,
H.R. 2876,https://www.congress.gov/bill/112th-congress/house-bill/2876,112th Congress (2011-2012),To prevent discrimination on the basis of political beliefs by the Environmental Protection Agency in its student programs.,"Pompeo, Mike [Rep.-R-KS-4] (Introduced 09/09/2011)",9/9/2011,"House - Energy and Commerce, Natural Resources, Transportation and Infrastructure, Agriculture","Referred to the Subcommittee on Conservation, Energy, and Forestry.",9/13/2011,5,,,,,
H.R. 2840,https://www.congress.gov/bill/112th-congress/house-bill/2840,112th Congress (2011-2012),Commercial Vessel Discharges Reform Act of 2011,"LoBiondo, Frank A. [Rep.-R-NJ-2] (Introduced 09/02/2011)",9/2/2011,House - Transportation and Infrastructure,"Placed on the Union Calendar, Calendar No. 178.",11/3/2011,7,,,,,
H.R. 2765,https://www.congress.gov/bill/112th-congress/house-bill/2765,112th Congress (2011-2012),"To amend the Federal Water Pollution Control Act to clarify the requirement that permit applications for the discharge of pollutants be approved by disinterested board members, and for other purposes.","Miller, Gary G. [Rep.-R-CA-42] (Introduced 08/01/2011)",8/1/2011,House - Transportation and Infrastructure,Referred to the Subcommittee on Water Resources and Environment.,8/2/2011,5,,,,,
H.R. 2681,https://www.congress.gov/bill/112th-congress/house-bill/2681,112th Congress (2011-2012),Cement Sector Regulatory Relief Act of 2011,"Sullivan, John [Rep.-R-OK-1] (Introduced 07/28/2011)",7/28/2011,House - Energy and Commerce,Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 192.,10/12/2011,41,,,,,
